"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"47850","105372273","ENSG00000267082","LOC105372273",15,7,6,8,18,15
"14848","55908","ENSG00000130173","ANGPTL8",0,0,1,0,2,3
"11570","26526","ENSG00000130167","TSPAN16",0,0,0,0,0,0
"8667","9545","ENSG00000105514","RAB3D",698,797,837,770,1082,1162
"25083","374882","ENSG00000105518","TMEM205",485,526,541,594,596,639
"19903","126075","ENSG00000183401","CCDC159",126,128,131,146,171,197
"16116","64748","ENSG00000105520","PLPPR2",2018,2082,1830,1979,2332,2408
"19902","126074","ENSG00000173928","SWSAP1",25,22,19,20,15,46
"1827","2057","ENSG00000187266","EPOR",333,300,240,210,344,346
"15259","57139","ENSG00000205517","RGL3",122,131,155,202,191,218
"19406","115948","ENSG00000198003","ODAD3",41,51,66,56,37,97
"5263","5589","ENSG00000130175","PRKCSH",11484,10387,10501,11383,12602,13550
"1764","1995","ENSG00000196361","ELAVL3",0,3,0,0,0,0
"19407","115950","ENSG00000161914","ZNF653",101,101,94,85,131,121
"13326","51295","ENSG00000130159","ECSIT",518,477,499,488,599,536
"53512","106479525","ENSG00000244080","RN7SL833P",0,0,0,0,0,0
"29574","646189","ENSG00000213304","RPL18AP13",4,1,6,7,14,16
"1123","1264","ENSG00000130176","CNN1",0,4,2,2,0,0
"18052","84337","ENSG00000130165","ELOF1",1167,1144,1049,905,1039,1150
"21963","199692","ENSG00000198551","ZNF627",287,274,327,357,287,339
"56","54","ENSG00000102575","ACP5",0,0,1,0,0,0
"30229","664709","ENSG00000214223","HNRNPA1P10",26,41,39,27,39,57
"14549","55552","ENSG00000197933","ZNF823",52,85,61,71,80,78
"19899","126068","ENSG00000197044","ZNF441",136,126,162,186,191,180
"19900","126069","ENSG00000177599","ZNF491",42,45,35,31,49,34
"19901","126070","ENSG00000171295","ZNF440",187,159,112,153,162,203
"18682","90594","ENSG00000171291","ZNF439",116,113,112,154,204,190
"7164","7620","ENSG00000198429","ZNF69",46,41,45,73,61,87
"18681","90592","ENSG00000196757","ZNF700",147,136,154,146,136,168
"23417","284390","ENSG00000197054","ZNF763",11,8,17,22,22,12
"43475","101928464","ENSG00000219665","ZNF433-AS1",100,98,105,65,112,140
"41221","100873708","ENSG00000252060","RNA5SP464",0,0,0,0,0,0
"21585","163059","ENSG00000197647","ZNF433",52,39,82,73,92,81
"41222","100873709","ENSG00000212497","RNA5SP465",0,0,0,2,0,0
"31241","729747","ENSG00000257446","ZNF878",12,3,6,10,3,9
"23418","284391","ENSG00000223547","ZNF844",112,113,163,137,153,164
"41223","100873710","ENSG00000252546","RNA5SP466",0,0,0,0,0,0
"7137","7568","ENSG00000132010","ZNF20",5,2,9,3,1,19
"41224","100873711","ENSG00000212576","RNA5SP467",0,0,0,0,0,0
"18680","90589","ENSG00000257591","ZNF625",5,5,3,3,5,2
"7193","7695","ENSG00000196646","ZNF136",168,170,184,196,242,244
"13579","51710","ENSG00000197857","ZNF44",125,136,98,185,191,137
"31094","729279","ENSG00000213293","RPL28P5",1,0,5,0,0,1
"31092","729274","ENSG00000234750","RPS2P53",4,2,0,0,5,4
"20942","147837","ENSG00000188868","ZNF563",39,37,37,24,67,40
"16973","79973","ENSG00000198342","ZNF442",32,27,42,35,25,41
"35423","100271588","ENSG00000231361","RPS29P23",0,0,0,0,0,0
"62247","112268242","ENSG00000248406","LOC112268242",0,0,0,0,0,0
"18677","90576","ENSG00000196466","ZNF799",35,36,27,33,57,56
"9304","10224","ENSG00000180855","ZNF443",75,37,65,76,46,66
"21584","163051","ENSG00000242852","ZNF709",0,0,0,2,0,6
"56373","107075280","ENSG00000236483","MTND2P40",2,0,0,0,0,0
"56263","107075168","ENSG00000232579","MTCO1P27",0,0,0,0,0,0
"56384","107075291","ENSG00000230321","MTCO2P27",0,0,0,0,0,0
"56299","107075204","ENSG00000234003","MTATP6P27",0,0,0,0,0,0
"38757","100500737","ENSG00000235686","PPIAP20",0,0,0,0,0,0
"21583","163050","ENSG00000249709","ZNF564",9,4,4,9,8,10
"4941","5233","ENSG00000213290","PGK1P2",1,0,2,1,1,2
"15410","57474","ENSG00000188033","ZNF490",46,46,36,61,64,68
"21582","163049","ENSG00000173875","ZNF791",406,458,308,419,513,474
"23420","284393","ENSG00000178464","RPL10P16",54,56,46,37,67,68
"4030","4125","ENSG00000104774","MAN2B1",2185,2323,2207,2287,3104,3492
"18010","84292","ENSG00000123154","WDR83",149,191,160,184,233,215
"13405","51398","ENSG00000105583","WDR83OS",1239,1155,1392,1180,1409,1417
"1542","1725","ENSG00000095059","DHPS",1481,1507,1021,1103,1218,1265
"17980","84261","ENSG00000132004","FBXW9",218,185,196,202,228,252
"12889","30000","ENSG00000105576","TNPO2",2079,2111,1857,2036,2266,2455
"11749","26810","ENSG00000209702","SNORD41",0,0,0,1,0,0
"16323","79002","ENSG00000123144","TRIR",4083,3934,3488,3674,4019,4418
"398","439","ENSG00000198356","GET3",2651,2429,2549,2583,2717,3018
"14020","54831","ENSG00000039987","BEST2",1,2,1,6,0,3
"12815","29911","ENSG00000095066","HOOK2",180,164,290,262,289,334
"40512","100847071","ENSG00000263800","MIR5684",0,0,0,0,0,0
"3416","3726","ENSG00000171223","JUNB",2596,2626,2108,2090,2546,3124
"6626","7001","ENSG00000167815","PRDX2",3143,2952,3489,3368,3457,3497
"9591","10535","ENSG00000104889","RNASEH2A",961,981,878,919,866,1061
"17670","83546","ENSG00000132026","RTBDN",0,2,1,0,0,2
"10488","22983","ENSG00000105613","MAST1",47,31,52,49,59,59
"1584","1777","ENSG00000105612","DNASE2",847,901,1135,1189,1270,1470
"9716","10661","ENSG00000105610","KLF1",0,1,1,2,0,0
"2336","2639","ENSG00000105607","GCDH",539,506,489,455,510,519
"31131","729389","ENSG00000240616","RPS6P25",2,3,2,6,2,1
"22793","256126","ENSG00000161860","SYCE2",6,7,7,9,7,16
"40456","100847016","ENSG00000266721","MIR5695",0,0,0,0,0,0
"1930","2193","ENSG00000179115","FARSA",2950,2723,1851,1879,1907,2067
"52863","106144598","ENSG00000266975","FARSA-AS1",4,0,0,0,0,0
"734","811","ENSG00000179218","CALR",18554,18193,20602,21184,20362,22383
"5534","5886","ENSG00000179262","RAD23A",4579,4397,3159,3152,3702,3773
"18664","90480","ENSG00000179271","GADD45GIP1",2394,2348,1992,1934,2041,2442
"21964","199699","ENSG00000179284","DAND5",1,2,11,15,6,24
"4542","4784","ENSG00000008441","NFIX",5070,5406,6945,7573,8414,9812
"3978","4066","ENSG00000104903","LYL1",22,13,51,43,43,32
"14596","55621","ENSG00000104907","TRMT1",860,879,655,596,631,595
"19128","112939","ENSG00000160877","NACC1",6543,6754,5197,5690,6311,7106
"7922","8677","ENSG00000104915","STX10",1735,1913,2240,2157,2603,2935
"8709","9592","ENSG00000160888","IER2",685,703,392,410,428,537
"693","773","ENSG00000141837","CACNA1A",0,0,1,0,2,5
"17517","81576","ENSG00000104957","YJU2B",407,341,368,395,477,437
"17966","84245","ENSG00000037757","MRI1",248,214,215,237,228,324
"12657","28974","ENSG00000104979","C19orf53",1800,1680,1523,1566,1578,1810
"16261","65249","ENSG00000132003","ZSWIM4",896,960,499,563,564,724
"55081","106481091","ENSG00000266770","RN7SL619P",0,0,0,0,0,0
"27210","407018","ENSG00000207808","MIR27A",0,1,0,0,0,0
"27200","407010","ENSG00000207980","MIR23A",0,2,0,0,4,0
"24466","342977","ENSG00000187556","NANOS3",19,17,22,11,17,24
"27147","406957","ENSG00000207613","MIR181C",0,0,0,0,0,0
"28451","574457","ENSG00000207585","MIR181D",0,0,0,0,0,0
"16505","79173","ENSG00000132016","BRME1",35,34,65,54,31,80
