"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IDUA",430.120008196813,0.68552610400485,0.152651545770252,4.49079045053758,7.09593375222131e-06,3.99340115008204e-05
"FGFR3",68.8710930782436,1.70445474075093,0.381378077423813,4.46919957293935,7.85128496465917e-06,4.39037035687568e-05
"MXD4",1688.09747716572,0.974399116671298,0.0934962444506811,10.4217995321223,1.97186434076207e-25,4.86806046175575e-24
"NOP14",538.86034808207,-0.753847805428829,0.163031388306173,-4.62394274661456,3.76513830305883e-06,2.22629080342386e-05
"RGS12",373.491417765697,0.710223380159632,0.166366054138856,4.26904024283014,1.96315851126817e-05,0.00010336155406394
"DOK7",39.8779525668977,4.71280743089052,0.722757433455966,6.52059351137431,7.00297316907312e-11,7.25356499675979e-10
"LRPAP1",3981.76193247695,0.55862132536596,0.0659301731489281,8.47292368099965,2.39309379747179e-17,3.92782955593831e-16
"LYAR",367.083663575492,-1.0014200290841,0.18890953038316,-5.30105615663196,1.15134664021858e-07,8.42966344034548e-07
"STX18-AS1",35.5756472464274,1.60089418936511,0.528378148376058,3.02982663890505,0.00244694148920784,0.00846987672834493
"MSX1",210.706210629772,0.603274410034243,0.20958640875155,2.87840425162961,0.00399692592033455,0.013071619344453
"STK32B",606.454800869703,-1.69612058640977,0.127781093949241,-13.273642711836,3.29181567796572e-40,1.3849734920027e-38
"MAN2B2",1022.82163086948,0.652358196350339,0.101128929959836,6.45075743023709,1.11292511231798e-10,1.13387786340937e-09
"GRPEL1",945.794908775036,-0.805131238323415,0.102667144957289,-7.84215085223575,4.42893842778482e-15,6.40373904718239e-14
"SH3TC1",393.003282649829,-1.41610177695336,0.161774930480024,-8.75353043114566,2.06780096240973e-18,3.63349119700609e-17
"HS3ST1",690.854532986202,0.60957577505834,0.123362981210105,4.94131844965829,7.75960500599717e-07,5.05440298166479e-06
"NKX3-2",7.50255331433373,3.64746784177053,1.45274993028061,2.51073344816199,0.012048063121652,0.0342826959011229
"FAM200B",420.830921415379,0.555185634087128,0.156310535433345,3.55181199109815,0.000382588123574737,0.00160020616457918
"BST1",155.025175126054,1.13635950773093,0.250707948148501,4.53260264033524,5.82613504413516e-06,3.32642022244659e-05
"CD38",29.6062446188991,1.78402883389526,0.580765856858871,3.07185557281958,0.00212732627902518,0.00748321839461144
"NCAPG",1606.96377791707,-0.527645254924464,0.098518906881254,-5.35577658774108,8.5189719507429e-08,6.3587888583856e-07
"DHX15",3776.82921661207,-0.615237536883865,0.062359390772669,-9.86599659266576,5.8451084048863e-23,1.28197561138593e-21
"CCDC149",642.242958095115,-0.581955189595918,0.122152932117719,-4.76415243995195,1.89649095710511e-06,1.17389096292258e-05
"SEL1L3",4727.58484705968,0.613894618571798,0.0583321482449275,10.5241215529068,6.68823771718737e-26,1.70179759018587e-24
"PGM2",1221.33375053533,-0.694380113599374,0.0933390008412957,-7.4393351904423,1.01193261092109e-13,1.31313861656972e-12
"WDR19",405.119687495992,0.548707938100409,0.155485392451626,3.52899992371387,0.000417133250766709,0.00172919851053332
"CHRNA9",1427.10278007139,-2.24092715606577,0.0934867327536313,-23.9705366746676,5.64428151102032e-127,1.15483546093972e-124
